text,author,clean_text
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,“the world as we have created it is a process of our thinking. it cannot be changed without changing our thinking.”
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"“it is our choices, harry, that show what we truly are, far more than our abilities.”"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,“there are only two ways to live your life. one is as though nothing is a miracle. the other is as though everything is a miracle.”
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"“the person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"“imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,“try not to become a man of success. rather become a man of value.”
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,“it is better to be hated for what you are than to be loved for what you are not.”
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"“i have not failed. i've just found , ways that won't work.”"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,“a woman is like a tea bag; you never know how strong it is until it's in hot water.”
"“A day without sunshine is like, you know, night.”",Steve Martin,"“a day without sunshine is like, you know, night.”"
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,"“this life is what you make it. no matter what, you're going to mess up sometimes, it's a universal truth. but the good part is you get to decide how you're going to mess it up. girls will be your friends - they'll act like it anyway. but just remember, some come, some go. the ones that stay with you through everything - they're your true best friends. don't let go of them. also remember, sisters make the best friends in the world. as for lovers, well, they'll come and go too. and baby, i hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. you'll never find that half who makes you whole and that goes for everything. just because you fail once, doesn't mean you're gonna fail at everything. keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? so keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"“it takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"“if you can't explain it to a six year old, you don't understand it yourself.”"
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,"“you may not be her first, her last, or her only. she loved before she may love again. but if she loves you now, what else matters? she's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. she may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. so don't hurt her, don't change her, don't analyze and don't expect more than she can give. smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,"“i like nonsense, it wakes up the brain cells. fantasy is a necessary ingredient in living.”"
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"“i may not have gone where i intended to go, but i think i have ended up where i needed to be.”"
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"“the opposite of love is not hate, it's indifference. the opposite of art is not ugliness, it's indifference. the opposite of faith is not heresy, it's indifference. and the opposite of life is not death, it's indifference.”"
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"“it is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"“good friends, good books, and a sleepy conscience: this is the ideal life.”"
“Life is what happens to us while we are making other plans.”,Allen Saunders,“life is what happens to us while we are making other plans.”
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"“i love you without knowing how, or when, or from where. i love you simply, without problems or pride: i love you in this way because i do not know any other way of loving but this, in which there is no i or you, so intimate that your hand upon my chest is my hand, so intimate that when i fall asleep your eyes close.”"
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,“for every minute you are angry you lose sixty seconds of happiness.”
"“If you judge people, you have no time to love them.”",Mother Teresa,"“if you judge people, you have no time to love them.”"
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,“anyone who thinks sitting in church can make you a christian must also think that sitting in a garage can make you a car.”
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,“beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,"“today you are you, that is truer than true. there is no one alive who is youer than you.”"
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"“if you want your children to be intelligent, read them fairy tales. if you want them to be more intelligent, read them more fairy tales.”"
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,"“it is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,“logic will get you from a to z; imagination will get you everywhere.”
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,"“one good thing about music, when it hits you, you feel no pain.”"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"“the more that you read, the more things you will know. the more that you learn, the more places you'll go.”"
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,"“of course it is happening inside your head, harry, but why on earth should that mean that it is not real?”"
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,"“the truth is, everyone is going to hurt you. you just got to find the ones worth suffering for.”"
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,“not all of us can do great things. but we can do small things with great love.”
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"“to the well-organized mind, death is but the next great adventure.”"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,“all you need is love. but a little chocolate now and then doesn't hurt.”
“We read to know we're not alone.”,William Nicholson,“we read to know we're not alone.”
“Any fool can know. The point is to understand.”,Albert Einstein,“any fool can know. the point is to understand.”
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,“i have always imagined that paradise will be a kind of library.”
