text,sentiment
"I absolutely love this movie","Positive"
"This movie was fantastic","Positive"
"The acting was excellent","Positive"
"I really enjoyed the film","Positive"
"This was an amazing experience","Positive"
"The movie was wonderful","Positive"
"I hate this movie","Negative"
"This movie was terrible","Negative"
"The film was extremely boring","Negative"
"The acting was awful","Negative"
"This was a complete waste of time","Negative"
"I really disliked the movie","Negative"
"The story was excellent","Positive"
"The movie was horrible","Negative"
"I enjoyed every minute of it","Positive"
"The film was disappointing","Negative"
"Fantastic acting and great story","Positive"
"Terrible acting and poor story","Negative"
"This is one of the best movies","Positive"
"This is one of the worst movies","Negative"
